ID,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,Income pm
1,25,1,49,4,1.6,1,0,0,Yes,No,No,No,12.25
2,45,19,34,3,1.5,1,0,0,Yes,No,No,No,11.33
3,39,15,11,1,1,1,0,0,No,No,No,No,11
4,35,9,100,1,2.7,2,0,0,No,No,No,No,100
5,35,8,45,4,1,2,0,0,No,No,No,Yes,11.25
6,37,13,29,4,0.4,2,155,0,No,No,Yes,No,7.25
7,53,27,72,2,1.5,2,0,0,No,No,Yes,No,36
8,50,24,22,1,0.3,3,0,0,No,No,No,Yes,22
9,35,10,81,3,0.6,2,104,0,No,No,Yes,No,27
10,34,9,180,1,8.9,3,0,1,No,No,No,No,180
11,65,39,105,4,2.4,3,0,0,No,No,No,No,26.25
12,29,5,45,3,0.1,2,0,0,No,No,Yes,No,15
13,48,23,114,2,3.8,3,0,0,Yes,No,No,No,57
14,59,32,40,4,2.5,2,0,0,No,No,Yes,No,10
15,67,41,112,1,2,1,0,0,Yes,No,No,No,112
16,60,30,22,1,1.5,3,0,0,No,No,Yes,Yes,22
17,38,14,130,4,4.7,3,134,1,No,No,No,No,32.5
18,42,18,81,4,2.4,1,0,0,No,No,No,No,20.25
19,46,21,193,2,8.1,3,0,1,No,No,No,No,96.5
20,55,28,21,1,0.5,2,0,0,Yes,No,No,Yes,21
21,56,31,25,4,0.9,2,111,0,No,No,Yes,No,6.25
22,57,27,63,3,2,3,0,0,No,No,Yes,No,21
23,29,5,62,1,1.2,1,260,0,No,No,Yes,No,62
24,44,18,43,2,0.7,1,163,0,Yes,No,No,No,21.5
25,36,11,152,2,3.9,1,159,0,No,No,No,Yes,76
26,43,19,29,3,0.5,1,97,0,No,No,Yes,No,9.67
27,40,16,83,4,0.2,3,0,0,No,No,No,No,20.75
28,46,20,158,1,2.4,1,0,0,No,No,Yes,Yes,158
29,56,30,48,1,2.2,3,0,0,No,No,Yes,Yes,48
30,38,13,119,1,3.3,2,0,1,No,Yes,Yes,Yes,119
31,59,35,35,1,1.2,3,122,0,No,No,Yes,No,35
32,40,16,29,1,2,2,0,0,No,No,Yes,No,29
33,53,28,41,2,0.6,3,193,0,No,No,No,No,20.5
34,30,6,18,3,0.9,3,0,0,No,No,No,No,6
35,31,5,50,4,1.8,3,0,0,No,No,Yes,No,12.5
36,48,24,81,3,0.7,1,0,0,No,No,No,No,27
37,59,35,121,1,2.9,1,0,0,No,No,No,Yes,121
38,51,25,71,1,1.4,3,198,0,No,No,No,No,71
39,42,18,141,3,5,3,0,1,Yes,Yes,Yes,No,47
40,38,13,80,4,0.7,3,285,0,No,No,Yes,No,20
41,57,32,84,3,1.6,3,0,0,Yes,No,No,No,28
42,34,9,60,3,2.3,1,0,0,No,No,No,No,20
43,32,7,132,4,1.1,2,412,1,No,No,Yes,No,33
44,39,15,45,1,0.7,1,0,0,No,No,Yes,No,45
45,46,20,104,1,5.7,1,0,0,No,No,Yes,Yes,104
46,57,31,52,4,2.5,1,0,0,No,No,No,Yes,13
47,39,14,43,3,0.7,2,153,0,No,No,Yes,No,14.33
48,37,12,194,4,0.2,3,211,1,Yes,Yes,Yes,Yes,48.5
49,56,26,81,2,4.5,3,0,0,No,No,No,Yes,40.5
50,40,16,49,1,1.8,1,0,0,No,No,No,Yes,49
51,32,8,8,4,0.7,2,0,0,Yes,No,Yes,No,2
52,61,37,131,1,2.9,1,0,0,No,No,Yes,No,131
53,30,6,72,1,0.1,1,207,0,No,No,No,No,72
54,50,26,190,3,2.1,3,240,1,No,No,Yes,No,63.33
55,29,5,44,1,0.2,3,0,0,No,No,Yes,No,44
56,41,17,139,2,8,1,0,0,No,No,Yes,No,69.5
57,55,30,29,3,0.1,2,0,0,Yes,Yes,Yes,No,9.67
58,56,31,131,2,1.2,3,0,1,No,No,No,No,65.5
59,28,2,93,2,0.2,1,0,0,No,No,No,No,46.5
60,31,5,188,2,4.5,1,455,0,No,No,No,No,94
61,49,24,39,3,1.7,2,0,0,Yes,No,Yes,No,13
62,47,21,125,1,5.7,1,112,0,Yes,No,No,No,125
63,42,18,22,1,1,1,0,0,No,No,No,No,22
64,42,17,32,4,0,2,0,0,No,No,Yes,No,8
65,47,23,105,2,3.3,1,0,0,No,No,No,No,52.5
66,59,35,131,1,3.8,1,0,0,No,No,Yes,Yes,131
67,62,36,105,2,2.8,1,336,0,No,No,No,No,52.5
68,53,23,45,4,2,3,132,0,Yes,No,No,No,11.25
69,47,21,60,3,2.1,1,0,0,No,No,Yes,Yes,20
70,53,29,20,4,0.2,1,0,0,No,No,Yes,No,5
71,42,18,115,1,3.5,1,0,0,No,No,No,Yes,115
72,53,29,69,4,1,2,0,0,No,No,Yes,No,17.25
73,44,20,130,1,5,1,0,0,No,No,No,Yes,130
74,41,16,85,1,4,3,0,0,No,No,Yes,Yes,85
75,28,3,135,2,3.3,1,0,0,No,No,No,Yes,67.5
76,31,7,135,4,3.8,2,0,1,No,Yes,Yes,Yes,33.75
77,58,32,12,3,0.3,3,0,0,No,No,No,No,4
78,46,20,29,3,0.5,2,0,0,No,No,No,No,9.67
79,54,30,133,2,2.6,3,0,1,No,No,No,No,66.5
80,50,26,19,2,0.4,1,118,0,No,No,Yes,No,9.5
81,60,36,41,4,1.3,1,174,0,No,No,Yes,Yes,10.25
82,47,22,40,3,2.7,2,0,0,No,No,Yes,No,13.33
83,41,16,82,1,4,3,0,0,No,No,Yes,No,82
84,33,9,50,1,2.4,2,0,0,No,No,No,No,50
85,46,22,18,1,0.9,3,0,0,No,No,Yes,No,18
86,27,2,109,4,1.8,3,0,0,No,No,No,No,27.25
87,40,16,42,4,2.2,2,126,0,No,No,No,No,10.5
88,48,22,78,3,1.1,1,0,0,No,No,Yes,No,26
89,65,41,51,2,1.1,1,0,0,No,No,Yes,No,25.5
91,55,30,118,4,5.6,2,0,1,No,No,Yes,No,29.5
92,35,10,29,4,1.1,3,0,0,No,No,Yes,No,7.25
93,43,19,34,3,0.6,2,0,0,No,No,No,No,11.33
94,60,34,64,2,1.7,3,236,0,Yes,No,Yes,No,32
95,65,39,121,1,2,1,0,0,No,No,No,No,121
96,38,12,48,4,0.2,3,0,0,No,No,Yes,No,12
97,41,15,80,1,5.2,1,0,0,No,No,No,No,80
98,54,28,161,1,2.9,1,0,0,No,No,Yes,No,161
99,49,23,94,1,0.3,1,0,0,No,No,Yes,No,94
100,66,41,15,3,0.1,3,0,0,No,No,Yes,No,5
101,48,23,74,1,1.2,1,0,0,No,No,Yes,No,74
102,61,36,30,3,1.3,2,0,0,No,No,No,No,10
103,53,23,44,3,1,3,198,0,No,No,Yes,Yes,14.67
104,43,18,22,2,0.3,2,0,0,No,No,Yes,No,11
105,56,32,38,4,1.3,1,166,0,No,No,Yes,Yes,9.5
107,43,17,69,4,2.9,1,0,0,No,No,Yes,Yes,17.25
108,42,18,43,1,0.7,1,136,0,No,No,No,No,43
109,33,7,32,1,0.6,3,166,0,No,No,Yes,No,32
110,43,17,49,1,2.8,1,0,0,No,No,Yes,No,49
111,41,14,9,3,1,2,0,0,No,No,No,No,3
112,62,38,45,4,1.3,2,0,0,No,No,Yes,No,11.25
113,40,15,82,3,1,1,309,0,No,No,No,No,27.33
114,58,34,92,2,2.8,1,103,0,No,No,No,No,46
115,39,14,39,3,0.5,3,0,0,No,No,Yes,No,13
116,65,40,81,3,1.8,2,0,0,No,No,Yes,No,27
117,54,29,35,1,1.5,2,0,0,No,No,Yes,No,35
118,58,33,61,2,2.3,3,193,0,No,No,Yes,No,30.5
119,41,16,73,3,3,1,0,0,No,No,Yes,No,24.33
120,32,7,112,1,4.6,1,366,0,No,No,No,No,112
121,54,29,12,2,0.2,3,0,0,No,No,Yes,No,6
122,52,26,38,3,0.9,3,0,0,No,No,Yes,No,12.67
123,58,32,73,2,0.7,2,0,0,No,No,Yes,Yes,36.5
124,37,13,84,1,3.6,2,0,0,Yes,No,No,No,84
125,39,15,78,4,2.4,1,118,0,No,No,Yes,No,19.5
126,60,35,80,3,0.5,1,0,0,No,No,Yes,No,26.67
127,31,5,115,2,1.3,1,101,0,No,No,Yes,Yes,57.5
128,34,8,82,1,2.7,2,251,0,No,No,Yes,No,82
129,38,14,74,2,0,1,0,0,Yes,No,Yes,No,37
130,41,16,70,3,0.5,3,0,0,No,No,No,Yes,23.33
